state,dmerc_name
CT,Medicare Region A DMERC
DE,Medicare Region A DMERC
DC,Medicare Region A DMERC
ME,Medicare Region A DMERC
MD,Medicare Region A DMERC
MA,Medicare Region A DMERC
NH,Medicare Region A DMERC
NJ,Medicare Region A DMERC
NY,Medicare Region A DMERC
PA,Medicare Region A DMERC
RI,Medicare Region A DMERC
VT,Medicare Region A DMERC
IL,Medicare Region B DMERC
IN,Medicare Region B DMERC
KY,Medicare Region B DMERC
MI,Medicare Region B DMERC
MN,Medicare Region B DMERC
OH,Medicare Region B DMERC
WI,Medicare Region B DMERC
AL,Medicare Region C DMERC
AR,Medicare Region C DMERC
CO,Medicare Region C DMERC
FL,Medicare Region C DMERC
GA,Medicare Region C DMERC
LA,Medicare Region C DMERC
MS,Medicare Region C DMERC
NM,Medicare Region C DMERC
NC,Medicare Region C DMERC
OK,Medicare Region C DMERC
SC,Medicare Region C DMERC
TN,Medicare Region C DMERC
TX,Medicare Region C DMERC
VA,Medicare Region C DMERC
WV,Medicare Region C DMERC
AK,Medicare Region D DMERC
AZ,Medicare Region D DMERC
CA,Medicare Region D DMERC
HI,Medicare Region D DMERC
ID,Medicare Region D DMERC
IA,Medicare Region D DMERC
KS,Medicare Region D DMERC
MO,Medicare Region D DMERC
MT,Medicare Region D DMERC
NE,Medicare Region D DMERC
NV,Medicare Region D DMERC
ND,Medicare Region D DMERC
OR,Medicare Region D DMERC
SD,Medicare Region D DMERC
UT,Medicare Region D DMERC
WA,Medicare Region D DMERC
WY,Medicare Region D DMERC
